Date,THEFT,ROBBERY,BURGLARY,MOTOR VEHICLE THEFT,avg_temp,avg_pre,avg_snow,rainy_days,snowy_days,total_cases,total_deaths,total_hospitalizations,unemp
2001-01,7865,1396,1934,2096,24.5,0.04,1.5,3,3,0,0,0,5.6
2001-02,6669,1159,1666,1785,26.1,0.09,2.2,4,6,0,0,0,5.7
2001-03,7765,1399,1832,2151,34.1,0.04,4.2,3,3,0,0,0,5.8
2001-04,7702,1341,1932,2119,52.5,0.09,0.3,8,1,0,0,0,5.8
2001-05,8420,1491,1997,2197,60,0.11,0,11,0,0,0,0,5.3
2001-06,8612,1448,2089,2278,67.4,0.09,0,7,0,0,0,0,6.1
2001-07,9448,1658,2499,2569,74.5,0.1,0,4,0,0,0,0,5.7
2001-08,9609,1704,2451,2341,73.2,0.4,0,12,0,0,0,0,5.9
2001-09,8775,1757,2393,2514,61.9,0.2,0,7,0,0,0,0,5.6
2001-10,8999,1857,2664,2899,52.1,0.28,0,9,0,0,0,0,5.7
2001-11,7943,1595,2444,2379,48.2,0.04,0,5,0,0,0,0,6
2001-12,7467,1636,2113,2223,33.4,0.03,1.6,3,6,0,0,0,6.2
2002-01,7408,1471,2095,2092,31.9,0.04,15.5,3,5,0,0,0,7.3
2002-02,6309,1139,1562,1851,32.1,0.03,1.8,3,2,0,0,0,7.2
2002-03,7223,1301,1721,2084,34.5,0.09,11.2,5,7,0,0,0,7.3
2002-04,7525,1373,1843,2051,49.9,0.1,1,7,2,0,0,0,7.3
2002-05,8339,1395,2070,2026,55.2,0.14,0,7,0,0,0,0,7
2002-06,8444,1528,2151,1956,70.9,0.15,0,6,0,0,0,0,7.8
2002-07,9641,1804,2448,2341,77,0.09,0,3,0,0,0,0,7.7
2002-08,9581,1941,2441,2328,73.1,0.26,0,4,0,0,0,0,7.2
2002-09,8939,1719,2370,2205,67.3,0.06,0,5,0,0,0,0,6.7
2002-10,9188,1785,2285,2259,49.7,0.05,0,6,0,0,0,0,6.9
2002-11,7906,1541,2299,2080,37.6,0.03,4.7,5,3,0,0,0,7
2002-12,7828,1526,2338,1848,30.1,0.06,8,2,4,0,0,0,6.9
2003-01,7487,1324,2038,1750,21.3,0.01,4.3,2,8,0,0,0,7.6
2003-02,6496,985,1585,1499,23.6,0.01,1.5,1,1,0,0,0,7.4
2003-03,7643,1310,1943,1800,36.7,0.06,7.1,7,4,0,0,0,7.1
2003-04,7794,1296,2035,1895,48.3,0.14,3,4,1,0,0,0,6.9
2003-05,8102,1447,2089,1920,56.2,0.17,0,9,0,0,0,0,6.8
2003-06,8199,1532,2103,1905,65.5,0.05,0,3,0,0,0,0,7.9
2003-07,9994,1630,2233,2088,72.3,0.15,0,11,0,0,0,0,7.3
2003-08,9846,1714,2330,2035,73.6,0.14,0,7,0,0,0,0,7.3
2003-09,8830,1581,2267,2020,63.3,0.06,0,4,0,0,0,0,7
